level,exp needed,exp required increase,,x = ,y = ,functoin for increased exp required per level,(level/x)^y,
191,5631,41.22891636,,0.4,1.40,,,
192,5672,41.31535043,,0.4,1.40,,,
193,5713,41.40151411,,0.4,1.40,,,
194,5755,41.48740964,,0.4,1.40,,,
195,5796,41.57303925,,0.4,1.40,,,
196,5838,41.6584051,,0.4,1.40,,,
197,5880,41.74350936,,0.4,1.40,,,
198,5922,41.82835415,,0.4,1.40,,,
199,5964,41.91294158,,0.4,1.40,,,
200,6006,41.99727371,,0.4,1.40,,,
201,6048,42.08135259,,0.4,1.40,,,
202,6090,42.16518023,,0.4,1.40,,,
203,6132,42.24875864,,0.4,1.40,,,
204,6174,42.33208976,,0.4,1.40,,,
205,6217,42.41517556,,0.4,1.40,,,
206,6259,42.49801794,,0.4,1.40,,,
207,6302,42.58061879,,0.4,1.40,,,
208,6345,42.66297998,,0.4,1.40,,,
209,6387,42.74510337,,0.4,1.40,,,
210,6430,42.82699076,,0.4,1.40,,,
211,6473,42.90864397,,0.4,1.40,,,
212,6516,42.99006477,,0.4,1.40,,,
213,6559,43.07125491,,0.4,1.40,,,
214,6602,43.15221613,,0.4,1.40,,,
215,6646,43.23295014,,0.4,1.40,,,
216,6689,43.31345864,,0.4,1.40,,,
217,6732,43.39374329,,0.4,1.40,,,
218,6776,43.47380575,,0.4,1.40,,,
219,6819,43.55364765,,0.4,1.40,,,
220,6863,43.63327061,,0.4,1.40,,,
221,6907,43.71267621,,0.4,1.40,,,
222,6950,43.79186604,,0.4,1.40,,,
223,6994,43.87084164,,0.4,1.40,,,
224,7038,43.94960456,,0.4,1.40,,,
225,7082,44.02815632,,0.4,1.40,,,
226,7126,44.10649842,,0.4,1.40,,,
227,7171,44.18463235,,0.4,1.40,,,
228,7215,44.26255958,,0.4,1.40,,,
229,7259,44.34028155,,0.4,1.40,,,
230,7304,44.4177997,,0.4,1.40,,,
231,7348,44.49511545,,0.4,1.40,,,
232,7393,44.57223021,,0.4,1.40,,,
233,7437,44.64914536,,0.4,1.40,,,
234,7482,44.72586227,,0.4,1.40,,,
235,7527,44.80238231,,0.4,1.40,,,
236,7572,44.87870681,,0.4,1.40,,,
237,7617,44.95483709,,0.4,1.40,,,
238,7662,45.03077448,,0.4,1.40,,,
239,7707,45.10652027,,0.4,1.40,,,
240,7752,45.18207573,,0.4,1.40,,,
241,7797,45.25744216,,0.4,1.40,,,
242,7843,45.33262079,,0.4,1.40,,,
243,7888,45.40761287,,0.4,1.40,,,
244,7933,45.48241963,,0.4,1.40,,,
245,7979,45.55704229,,0.4,1.40,,,
246,8025,45.63148205,,0.4,1.40,,,
247,8070,45.70574011,,0.4,1.40,,,
248,8116,45.77981763,,0.4,1.40,,,
249,8162,45.85371578,,0.4,1.40,,,
250,8208,45.92743572,,0.4,1.40,,,
251,8254,46.0009786,,0.4,1.40,,,
252,8300,46.07434553,,0.4,1.40,,,
253,8346,46.14753764,,0.4,1.40,,,
254,8392,46.22055603,,0.4,1.40,,,
255,8439,46.2934018,,0.4,1.40,,,
256,8485,46.36607604,,0.4,1.40,,,
257,8531,46.43857981,,0.4,1.40,,,
258,8578,46.51091417,,0.4,1.40,,,
259,8625,46.58308019,,0.4,1.40,,,
260,8671,46.6550789,,0.4,1.40,,,
261,8718,46.72691133,,0.4,1.40,,,
262,8765,46.79857849,,0.4,1.40,,,
263,8812,46.87008141,,0.4,1.40,,,
264,8859,46.94142108,,0.4,1.40,,,
265,8906,47.01259849,,0.4,1.40,,,
266,8953,47.08361462,,0.4,1.40,,,
267,9000,47.15447045,,0.4,1.40,,,
268,9047,47.22516692,,0.4,1.40,,,
269,9094,47.29570501,,0.4,1.40,,,
270,9142,47.36608564,,0.4,1.40,,,
271,9189,47.43630975,,0.4,1.40,,,
272,9237,47.50637827,,0.4,1.40,,,
273,9284,47.57629211,,0.4,1.40,,,
274,9332,47.64605218,,0.4,1.40,,,
275,9380,47.71565938,,0.4,1.40,,,
276,9427,47.7851146,,0.4,1.40,,,
277,9475,47.85441872,,0.4,1.40,,,
278,9523,47.92357261,,0.4,1.40,,,
279,9571,47.99257714,,0.4,1.40,,,
280,9619,48.06143317,,0.4,1.40,,,
281,9667,48.13014154,,0.4,1.40,,,
282,9715,48.1987031,,0.4,1.40,,,
283,9764,48.26711868,,0.4,1.40,,,
284,9812,48.33538911,,0.4,1.40,,,
285,9860,48.4035152,,0.4,1.40,,,
286,9909,48.47149776,,0.4,1.40,,,
287,9958,48.53933761,,0.4,1.40,,,
288,10006,48.60703553,,0.4,1.40,,,
289,10055,48.67459231,,0.4,1.40,,,
290,10104,48.74200874,,0.4,1.40,,,
291,10152,48.80928559,,0.4,1.40,,,
292,10201,48.87642363,,0.4,1.40,,,
293,10250,48.94342362,,0.4,1.40,,,
294,10299,49.01028631,,0.4,1.40,,,
295,10348,49.07701246,,0.4,1.40,,,
296,10397,49.1436028,,0.4,1.40,,,
297,10447,49.21005807,,0.4,1.40,,,
298,10496,49.27637899,,0.4,1.40,,,
299,10545,49.34256629,,0.4,1.40,,,
300,10595,49.40862069,,0.4,1.40,,,
301,10644,49.47454288,,0.4,1.40,,,
302,10694,49.54033359,,0.4,1.40,,,
303,10743,49.60599349,,0.4,1.40,,,
304,10793,49.67152329,,0.4,1.40,,,
305,10843,49.73692367,,0.4,1.40,,,
306,10892,49.80219531,,0.4,1.40,,,
307,10942,49.86733888,,0.4,1.40,,,
308,10992,49.93235505,,0.4,1.40,,,
309,11042,49.99724448,,0.4,1.40,,,
310,11092,50.06200783,,0.4,1.40,,,
311,11142,50.12664575,,0.4,1.40,,,
312,11193,50.19115889,,0.4,1.40,,,
313,11243,50.25554788,,0.4,1.40,,,
314,11293,50.31981337,,0.4,1.40,,,
315,11344,50.38395598,,0.4,1.40,,,
316,11394,50.44797633,,0.4,1.40,,,
317,11445,50.51187505,,0.4,1.40,,,
318,11495,50.57565274,,0.4,1.40,,,
319,11546,50.63931003,,0.4,1.40,,,
320,11596,50.7028475,,0.4,1.40,,,
321,11647,50.76626577,,0.4,1.40,,,
322,11698,50.82956543,,0.4,1.40,,,
323,11749,50.89274706,,0.4,1.40,,,
324,11800,50.95581126,,0.4,1.40,,,
325,11851,51.0187586,,0.4,1.40,,,
326,11902,51.08158965,,0.4,1.40,,,
327,11953,51.144305,,0.4,1.40,,,
328,12004,51.20690519,,0.4,1.40,,,
329,12056,51.26939081,,0.4,1.40,,,
330,12107,51.3317624,,0.4,1.40,,,
331,12158,51.39402052,,0.4,1.40,,,
332,12210,51.45616572,,0.4,1.40,,,
333,12261,51.51819853,,0.4,1.40,,,
334,12313,51.58011951,,0.4,1.40,,,
335,12365,51.64192919,,0.4,1.40,,,
336,12416,51.70362809,,0.4,1.40,,,
337,12468,51.76521676,,0.4,1.40,,,
338,12520,51.8266957,,0.4,1.40,,,
339,12572,51.88806545,,0.4,1.40,,,
340,12624,51.94932651,,0.4,1.40,,,
341,12676,52.0104794,,0.4,1.40,,,
342,12728,52.07152463,,0.4,1.40,,,
343,12780,52.13246269,,0.4,1.40,,,
344,12832,52.1932941,,0.4,1.40,,,
345,12884,52.25401935,,0.4,1.40,,,
346,12937,52.31463892,,0.4,1.40,,,
347,12989,52.37515331,,0.4,1.40,,,
348,13041,52.43556301,,0.4,1.40,,,
349,13094,52.49586849,,0.4,1.40,,,
350,13147,52.55607023,,0.4,1.40,,,
351,13199,52.61616871,,0.4,1.40,,,
352,13252,52.6761644,,0.4,1.40,,,
353,13305,52.73605777,,0.4,1.40,,,
354,13357,52.79584927,,0.4,1.40,,,
355,13410,52.85553938,,0.4,1.40,,,
356,13463,52.91512854,,0.4,1.40,,,
357,13516,52.97461722,,0.4,1.40,,,
358,13569,53.03400586,,0.4,1.40,,,
359,13622,53.09329491,,0.4,1.40,,,
360,13675,53.15248482,,0.4,1.40,,,
361,13729,53.21157602,,0.4,1.40,,,
362,13782,53.27056895,,0.4,1.40,,,
363,13835,53.32946405,,0.4,1.40,,,
364,13889,53.38826175,,0.4,1.40,,,
365,13942,53.44696247,,0.4,1.40,,,
366,13996,53.50556665,,0.4,1.40,,,
367,14049,53.56407471,,0.4,1.40,,,
368,14103,53.62248705,,0.4,1.40,,,
369,14156,53.68080411,,0.4,1.40,,,
370,14210,53.73902629,,0.4,1.40,,,
371,14264,53.79715401,,0.4,1.40,,,
372,14318,53.85518767,,0.4,1.40,,,
373,14372,53.91312767,,0.4,1.40,,,
374,14426,53.97097442,,0.4,1.40,,,
375,14480,54.02872833,,0.4,1.40,,,
376,14534,54.08638977,,0.4,1.40,,,
377,14588,54.14395915,,0.4,1.40,,,
378,14642,54.20143687,,0.4,1.40,,,
379,14696,54.2588233,,0.4,1.40,,,
380,14751,54.31611883,,0.4,1.40,,,
381,14805,54.37332385,,0.4,1.40,,,
382,14860,54.43043873,,0.4,1.40,,,
383,14914,54.48746386,,0.4,1.40,,,
384,14969,54.5443996,,0.4,1.40,,,
385,15023,54.60124634,,0.4,1.40,,,
386,15078,54.65800444,,0.4,1.40,,,
387,15133,54.71467426,,0.4,1.40,,,
388,15187,54.77125618,,0.4,1.40,,,
389,15242,54.82775056,,0.4,1.40,,,
390,15297,54.88415776,,0.4,1.40,,,
391,15352,54.94047813,,0.4,1.40,,,
392,15407,54.99671203,,0.4,1.40,,,
393,15462,55.05285981,,0.4,1.40,,,
394,15517,55.10892183,,0.4,1.40,,,
395,15572,55.16489844,,0.4,1.40,,,
396,15627,55.22078997,,0.4,1.40,,,
397,15683,55.27659677,,0.4,1.40,,,
398,15738,55.33231919,,0.4,1.40,,,
399,15793,55.38795756,,0.4,1.40,,,
400,15849,55.44351222,,0.4,1.40,,,
401,15904,55.49898351,,0.4,1.40,,,
402,15960,55.55437176,,0.4,1.40,,,
403,16016,55.6096773,,0.4,1.40,,,
404,16071,55.66490046,,0.4,1.40,,,
405,16127,55.72004156,,0.4,1.40,,,
406,16183,55.77510093,,0.4,1.40,,,
407,16239,55.83007889,,0.4,1.40,,,
408,16294,55.88497576,,0.4,1.40,,,
409,16350,55.93979186,,0.4,1.40,,,
410,16406,55.99452751,,0.4,1.40,,,
411,16462,56.04918302,,0.4,1.40,,,
412,16519,56.1037587,,0.4,1.40,,,
413,16575,56.15825486,,0.4,1.40,,,
414,16631,56.21267181,,0.4,1.40,,,
415,16687,56.26700986,,0.4,1.40,,,
416,16744,56.32126931,,0.4,1.40,,,
417,16800,56.37545046,,0.4,1.40,,,
418,16856,56.42955362,,0.4,1.40,,,
419,16913,56.48357908,,0.4,1.40,,,
420,16969,56.53752714,,0.4,1.40,,,
421,17026,56.59139809,,0.4,1.40,,,
422,17083,56.64519223,,0.4,1.40,,,
423,17139,56.69890985,,0.4,1.40,,,
424,17196,56.75255124,,0.4,1.40,,,
425,17253,56.80611669,,0.4,1.40,,,
426,17310,56.85960647,,0.4,1.40,,,
427,17367,56.91302089,,0.4,1.40,,,
428,17424,56.96636021,,0.4,1.40,,,
429,17481,57.01962472,,0.4,1.40,,,
430,17538,57.07281471,,0.4,1.40,,,
431,17595,57.12593044,,0.4,1.40,,,
432,17652,57.17897219,,0.4,1.40,,,
433,17709,57.23194024,,0.4,1.40,,,
434,17766,57.28483486,,0.4,1.40,,,
435,17824,57.33765632,,0.4,1.40,,,
436,17881,57.39040488,,0.4,1.40,,,
437,17939,57.44308083,,0.4,1.40,,,
438,17996,57.49568441,,0.4,1.40,,,
439,18054,57.54821591,,0.4,1.40,,,
440,18111,57.60067557,,0.4,1.40,,,
441,18169,57.65306367,,0.4,1.40,,,
442,18227,57.70538046,,0.4,1.40,,,
443,18284,57.75762619,,0.4,1.40,,,
444,18342,57.80980113,,0.4,1.40,,,
445,18400,57.86190554,,0.4,1.40,,,
446,18458,57.91393966,,0.4,1.40,,,
447,18516,57.96590374,,0.4,1.40,,,
448,18574,58.01779805,,0.4,1.40,,,
449,18632,58.06962282,,0.4,1.40,,,
450,18690,58.12137831,,0.4,1.40,,,
451,18748,58.17306476,,0.4,1.40,,,
452,18807,58.22468242,,0.4,1.40,,,
453,18865,58.27623152,,0.4,1.40,,,
454,18923,58.32771232,,0.4,1.40,,,
455,18982,58.37912506,,0.4,1.40,,,
456,19040,58.43046996,,0.4,1.40,,,
457,19098,58.48174728,,0.4,1.40,,,
458,19157,58.53295725,,0.4,1.40,,,
459,19216,58.5841001,,0.4,1.40,,,
460,19274,58.63517606,,0.4,1.40,,,
461,19333,58.68618538,,0.4,1.40,,,
462,19392,58.73712828,,0.4,1.40,,,
463,19450,58.78800499,,0.4,1.40,,,
464,19509,58.83881574,,0.4,1.40,,,
465,19568,58.88956076,,0.4,1.40,,,
466,19627,58.94024027,,0.4,1.40,,,
467,19686,58.9908545,,0.4,1.40,,,
468,19745,59.04140367,,0.4,1.40,,,
469,19804,59.09188801,,0.4,1.40,,,
470,19863,59.14230774,,0.4,1.40,,,
471,19923,59.19266308,,0.4,1.40,,,
472,19982,59.24295424,,0.4,1.40,,,
473,20041,59.29318144,,0.4,1.40,,,
474,20100,59.3433449,,0.4,1.40,,,
475,20160,59.39344484,,0.4,1.40,,,
476,20219,59.44348147,,0.4,1.40,,,
477,20279,59.493455,,0.4,1.40,,,
478,20338,59.54336564,,0.4,1.40,,,
479,20398,59.59321361,,0.4,1.40,,,
480,20458,59.64299911,,0.4,1.40,,,
481,20517,59.69272235,,0.4,1.40,,,
482,20577,59.74238354,,0.4,1.40,,,
483,20637,59.79198289,,0.4,1.40,,,
484,20697,59.8415206,,0.4,1.40,,,
485,20757,59.89099687,,0.4,1.40,,,
486,20816,59.94041191,,0.4,1.40,,,
487,20876,59.98976592,,0.4,1.40,,,
488,20936,60.0390591,,0.4,1.40,,,
489,20997,60.08829164,,0.4,1.40,,,
490,21057,60.13746375,,0.4,1.40,,,
491,21117,60.18657563,,0.4,1.40,,,
492,21177,60.23562747,,0.4,1.40,,,
493,21237,60.28461946,,0.4,1.40,,,
494,21298,60.33355181,,0.4,1.40,,,
495,21358,60.3824247,,0.4,1.40,,,
496,21419,60.43123832,,0.4,1.40,,,
497,21479,60.47999288,,0.4,1.40,,,
498,21540,60.52868855,,0.4,1.40,,,
499,21600,60.57732552,,0.4,1.40,,,
500,21661,60.62590399,,0.4,1.40,,,
501,21721,60.67442415,,0.4,1.40,,,
502,21782,60.72288617,,0.4,1.40,,,
503,21843,60.77129025,,0.4,1.40,,,
504,21904,60.81963657,,0.4,1.40,,,
505,21965,60.8679253,,0.4,1.40,,,
506,22026,60.91615665,,0.4,1.40,,,
507,22087,60.96433077,,0.4,1.40,,,
508,22148,61.01244787,,0.4,1.40,,,
509,22209,61.06050811,,0.4,1.40,,,
510,22270,61.10851168,,0.4,1.40,,,
511,22331,61.15645875,,0.4,1.40,,,
512,22392,61.2043495,,0.4,1.40,,,
513,22453,61.2521841,,0.4,1.40,,,
514,22515,61.29996274,,0.4,1.40,,,
515,22576,61.34768558,,0.4,1.40,,,
516,22637,61.3953528,,0.4,1.40,,,
517,22699,61.44296457,,0.4,1.40,,,
518,22760,61.49052107,,0.4,1.40,,,
519,22822,61.53802246,,0.4,1.40,,,
520,22883,61.58546891,,0.4,1.40,,,
521,22945,61.6328606,,0.4,1.40,,,
522,23007,61.68019768,,0.4,1.40,,,
523,23068,61.72748034,,0.4,1.40,,,
524,23130,61.77470873,,0.4,1.40,,,
525,23192,61.82188302,,0.4,1.40,,,
526,23254,61.86900338,,0.4,1.40,,,
527,23316,61.91606997,,0.4,1.40,,,
528,23378,61.96308295,,0.4,1.40,,,
529,23440,62.01004249,,0.4,1.40,,,
530,23502,62.05694874,,0.4,1.40,,,
531,23564,62.10380188,,0.4,1.40,,,
532,23626,62.15060205,,0.4,1.40,,,
533,23688,62.19734942,,0.4,1.40,,,
534,23751,62.24404415,,0.4,1.40,,,
535,23813,62.29068639,,0.4,1.40,,,
536,23875,62.3372763,,0.4,1.40,,,
537,23938,62.38381404,,0.4,1.40,,,
538,24000,62.43029976,,0.4,1.40,,,
539,24062,62.47673362,,0.4,1.40,,,
540,24125,62.52311578,,0.4,1.40,,,
541,24188,62.56944637,,0.4,1.40,,,
542,24250,62.61572557,,0.4,1.40,,,
543,24313,62.66195351,,0.4,1.40,,,
544,24376,62.70813036,,0.4,1.40,,,
545,24438,62.75425625,,0.4,1.40,,,
546,24501,62.80033135,,0.4,1.40,,,
547,24564,62.8463558,,0.4,1.40,,,
548,24627,62.89232974,,0.4,1.40,,,
549,24690,62.93825333,,0.4,1.40,,,
550,24753,62.98412671,,0.4,1.40,,,
551,24816,63.02995003,,0.4,1.40,,,
552,24879,63.07572343,,0.4,1.40,,,
553,24942,63.12144706,,0.4,1.40,,,
554,25005,63.16712106,,0.4,1.40,,,
555,25068,63.21274558,,0.4,1.40,,,
556,25132,63.25832076,,0.4,1.40,,,
557,25195,63.30384674,,0.4,1.40,,,
558,25258,63.34932366,,0.4,1.40,,,
559,25322,63.39475166,,0.4,1.40,,,
560,25385,63.44013088,,0.4,1.40,,,
561,25449,63.48546147,,0.4,1.40,,,
562,25512,63.53074355,,0.4,1.40,,,
563,25576,63.57597728,,0.4,1.40,,,
564,25639,63.62116278,,0.4,1.40,,,
565,25703,63.6663002,,0.4,1.40,,,
566,25767,63.71138966,,0.4,1.40,,,
567,25830,63.75643131,,0.4,1.40,,,
568,25894,63.80142528,,0.4,1.40,,,
569,25958,63.84637171,,0.4,1.40,,,
570,26022,63.89127072,,0.4,1.40,,,
571,26086,63.93612245,,0.4,1.40,,,
572,26150,63.98092704,,0.4,1.40,,,
573,26214,64.02568461,,0.4,1.40,,,
574,26278,64.0703953,,0.4,1.40,,,
575,26342,64.11505924,,0.4,1.40,,,
576,26406,64.15967655,,0.4,1.40,,,
577,26471,64.20424738,,0.4,1.40,,,
578,26535,64.24877184,,0.4,1.40,,,
579,26599,64.29325006,,0.4,1.40,,,
580,26663,64.33768218,,0.4,1.40,,,
581,26728,64.38206832,,0.4,1.40,,,
582,26792,64.4264086,,0.4,1.40,,,
583,26857,64.47070315,,0.4,1.40,,,
584,26921,64.51495211,,0.4,1.40,,,
585,26986,64.55915559,,0.4,1.40,,,
586,27050,64.60331371,,0.4,1.40,,,
587,27115,64.64742661,,0.4,1.40,,,
588,27180,64.6914944,,0.4,1.40,,,
589,27244,64.7355172,,0.4,1.40,,,
590,27309,64.77949515,,0.4,1.40,,,
591,27374,64.82342836,,0.4,1.40,,,
592,27439,64.86731695,,0.4,1.40,,,
593,27504,64.91116105,,0.4,1.40,,,
594,27569,64.95496077,,0.4,1.40,,,
595,27634,64.99871623,,0.4,1.40,,,
596,27699,65.04242755,,0.4,1.40,,,
597,27764,65.08609486,,0.4,1.40,,,
598,27829,65.12971826,,0.4,1.40,,,
599,27894,65.17329788,,0.4,1.40,,,
600,27959,65.21683383,,0.4,1.40,,,
601,28025,65.26032623,,0.4,1.40,,,
602,28090,65.3037752,,0.4,1.40,,,
603,28155,65.34718085,,0.4,1.40,,,
604,28221,65.39054329,,0.4,1.40,,,
605,28286,65.43386264,,0.4,1.40,,,
606,28352,65.47713902,,0.4,1.40,,,
607,28417,65.52037254,,0.4,1.40,,,
